Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Brooks,MIN,Aaron Brooks MIN,PG,33,32,1,189,5.3,13.1,0.406,2.1,5.9,0.355,3.2,7.2,0.447,1.5,2.1,0.727,1.3,1.9,3.2,3.8,1.1,0,2.1,5.3,14.3
Aaron Gordon,ORL,Aaron Gordon ORL,PF,22,58,57,1909,7.1,16.3,0.434,2.2,6.4,0.336,4.9,9.9,0.497,3,4.2,0.698,1.6,7,8.6,2.6,1.1,0.8,2,2.1,19.3
Aaron Harrison,DAL,Aaron Harrison DAL,SG,23,9,3,233,2.9,10.7,0.275,1.4,6.6,0.209,1.5,4,0.385,2,2.6,0.765,0.6,3.1,3.7,1.7,1.4,0.3,0.5,4.2,9.3
Aaron Jackson,HOU,Aaron Jackson HOU,PG,31,1,0,35,3.1,9.3,0.333,1,4.1,0.25,2.1,5.1,0.4,1,2.1,0.5,2.1,1,3.1,1,0,0,1,4.1,8.2
Abdel Nader,BOS,Abdel Nader BOS,SF,24,48,1,522,3.4,10.3,0.336,1.6,4.5,0.354,1.9,5.8,0.321,1.6,2.7,0.59,0.9,4,4.9,1.8,1,0.7,2.3,3.1,10.1
Adreian Payne,ORL,Adreian Payne ORL,PF,26,5,0,43,5.9,8.4,0.7,1.7,2.5,0.667,4.2,5.9,0.714,4.2,5,0.833,1.7,5.9,7.5,0,1.7,0,1.7,5,17.6
Al Horford,BOS,Al Horford BOS,C,31,72,72,2277,5.8,11.9,0.489,1.5,3.6,0.429,4.3,8.3,0.514,1.5,1.9,0.783,1.6,6.8,8.4,5.4,0.7,1.2,2.1,2.2,14.7
Al Jefferson,IND,Al Jefferson IND,C,33,36,1,484,8.3,15.5,0.534,0,0.2,0,8.3,15.2,0.541,2.2,2.7,0.833,2.2,8.4,10.6,2.2,1.2,1.7,1.6,4.9,18.7
Al-Farouq Aminu,POR,Al-Farouq Aminu POR,PF,27,69,67,2072,4,10.1,0.395,2.2,5.9,0.369,1.8,4.2,0.432,1,1.4,0.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2
Alan Williams,PHO,Alan Williams PHO,PF,25,5,0,70,3.6,9.3,0.389,0,0,,3.6,9.3,0.389,3.1,4.6,0.667,1.5,9.8,11.3,4.1,2.6,0.5,3.6,6.7,10.3
Alec Burks,UTA,Alec Burks UTA,SG,26,64,1,1059,5.8,14.1,0.411,1.6,4.8,0.331,4.2,9.2,0.452,3.6,4.2,0.863,0.6,5.9,6.5,2.3,1.3,0.3,2,2.5,16.8
Alec Peters,PHO,Alec Peters PHO,PF,22,20,0,225,4.5,11.8,0.378,2.9,9.3,0.31,1.6,2.6,0.625,1.3,1.6,0.8,1.3,4.6,5.9,1.9,0.3,0.3,0.6,2.1,13.1
Alex Abrines,OKC,Alex Abrines OKC,SG,24,75,8,1134,3.7,9.2,0.395,2.7,7,0.38,1,2.2,0.443,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
Alex Caruso,LAL,Alex Caruso LAL,PG,23,37,7,562,3.2,7.4,0.431,0.8,2.8,0.302,2.4,4.7,0.507,1.3,1.9,0.7,1,3.2,4.2,4.8,1.5,0.6,2.7,3.3,8.6
Alex Len,PHO,Alex Len PHO,C,24,69,13,1395,5.5,9.8,0.566,0,0.1,0.333,5.5,9.7,0.568,4.1,6,0.684,4.5,8.9,13.4,2.1,0.7,1.6,2,4.1,15.1
Alex Poythress,IND,Alex Poythress IND,PF,24,25,0,104,3.8,9,0.423,1.4,3.8,0.364,2.4,5.2,0.467,0,0,,2.4,3.5,5.9,0.7,1,0.3,0.7,5.5,9
Alfonzo McKinnie,TOR,Alfonzo McKinnie TOR,SF,25,14,0,53,5.4,10.2,0.533,2,6.1,0.333,3.4,4.1,0.833,1.4,2,0.667,0.7,4.1,4.8,0.7,0.7,0.7,2,5.4,14.3
Allen Crabbe,BRK,Allen Crabbe BRK,SG,25,75,68,2197,5.5,13.6,0.407,3.3,8.7,0.378,2.2,4.8,0.461,1.9,2.2,0.852,0.5,4.9,5.3,1.9,0.8,0.6,1.3,2.8,16.2
Amir Johnson,PHI,Amir Johnson PHI,C,30,74,18,1171,4.3,8,0.538,0.3,1,0.313,4,7,0.57,1.6,2.6,0.612,3.8,6.4,10.1,3.6,1.4,1.4,1.7,5.9,10.5
Andre Drummond,DET,Andre Drummond DET,C,24,78,78,2625,6.4,12.1,0.529,0,0.2,0,6.4,11.9,0.536,3.3,5.4,0.605,5.5,11.6,17.1,3.3,1.6,1.7,2.7,3.4,16.1
Andre Iguodala,GSW,Andre Iguodala GSW,SF,34,64,7,1622,3.3,7.1,0.463,0.7,2.6,0.282,2.6,4.5,0.567,1.2,1.9,0.632,1.1,4.4,5.5,4.7,1.2,0.8,1.5,2.2,8.5
Andre Ingram,LAL,Andre Ingram LAL,SG,32,2,0,64,4.5,9.6,0.471,2.8,5.1,0.556,1.7,4.5,0.375,1.7,1.7,1,0.6,2.8,3.4,3.9,1.7,1.7,1.7,1.7,13.5
Andre Roberson,OKC,Andre Roberson OKC,SG,26,39,39,1037,3,5.6,0.537,0.3,1.2,0.222,2.7,4.4,0.627,0.4,1.3,0.316,2.6,3.8,6.4,1.6,1.6,1.2,1,3.1,6.7
Andrew Bogut,LAL,Andrew Bogut LAL,C,33,24,5,216,2.8,4.2,0.68,0,0,,2.8,4.2,0.68,0.3,0.3,1,4.3,8.7,13,2.5,0.7,2.2,3.2,6.7,6
Andrew Harrison,MEM,Andrew Harrison MEM,PG,23,56,46,1326,4.9,11.6,0.422,1.3,3.9,0.331,3.6,7.8,0.467,3.4,4.3,0.78,0.6,2.9,3.6,4.8,1,0.7,2.2,3.7,14.5
Andrew White,ATL,Andrew White ATL,SF,24,15,0,209,4.3,12.6,0.342,3.1,8.4,0.367,1.2,4.1,0.292,0.2,0.7,0.25,0.7,5.2,5.9,1,0.5,0.2,1.4,2.1,11.9
Andrew Wiggins,MIN,Andrew Wiggins MIN,SF,22,82,82,2979,6.9,15.7,0.438,1.4,4.1,0.331,5.5,11.6,0.475,2.4,3.8,0.643,1,3.3,4.3,1.9,1.1,0.6,1.7,2,17.5
Ante Zizic,CLE,Ante Zizic CLE,C,21,32,2,214,8.2,11.3,0.731,0,0,,8.2,11.3,0.731,3.5,4.9,0.724,4,6.1,10.1,0.8,0.3,2.2,1.9,5,20
Anthony Brown,MIN,Anthony Brown MIN,SF,25,1,0,4,9,9,1,9,9,1,0,0,,0,0,,0,0,0,9,0,0,0,0,27
Anthony Davis,NOP,Anthony Davis NOP,PF,24,75,75,2727,10.3,19.3,0.534,0.7,2.1,0.34,9.6,17.2,0.558,6.5,7.9,0.828,2.5,8.5,11,2.3,1.5,2.5,2.1,2.1,27.9
Anthony Tolliver,DET,Anthony Tolliver DET,PF,32,79,14,1757,4.5,9.7,0.464,3.3,7.5,0.436,1.2,2.2,0.561,2.2,2.7,0.797,1,3.9,4.9,1.8,0.7,0.4,1.2,3,14.4
Antonio Blakeney,CHI,Antonio Blakeney CHI,SG,21,19,0,314,6.1,16.4,0.371,1.7,6,0.288,4.4,10.4,0.418,3.4,4.5,0.769,0.5,3.3,3.8,2.3,0.8,0.1,1.3,2.2,17.3
Antonius Cleveland,ATL,Antonius Cleveland TOT,SG,23,17,0,123,2.3,6.1,0.381,0.9,1.2,0.75,1.5,5,0.294,1.2,1.8,0.667,0.9,3.2,4.1,0.6,2,1.5,2,6.7,6.7
Aron Baynes,BOS,Aron Baynes BOS,C,31,81,67,1485,5.1,10.8,0.471,0.1,0.5,0.143,5,10.3,0.487,1.4,1.9,0.756,3.2,7.4,10.5,2.3,0.5,1.2,1.9,4.8,11.7
Arron Afflalo,ORL,Arron Afflalo ORL,SG,32,53,3,682,3.4,8.6,0.401,1.4,3.7,0.386,2,4.9,0.413,1.2,1.4,0.846,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3,9.4
Austin Rivers,LAC,Austin Rivers LAC,SG,25,61,59,2057,6,14.1,0.424,2.4,6.3,0.378,3.6,7.8,0.461,1.8,2.8,0.642,0.5,2.1,2.5,4.2,1.3,0.3,1.9,2.7,16.1
Avery Bradley,LAC,Avery Bradley TOT,SG,27,46,46,1433,6.5,15.7,0.414,1.9,5.1,0.369,4.6,10.6,0.436,1.6,2.1,0.768,0.6,2.4,2.9,2.4,1.3,0.2,2.5,2.3,16.5
Bam Adebayo,MIA,Bam Adebayo MIA,C,20,69,19,1368,4.6,8.9,0.512,0,0.2,0,4.6,8.8,0.523,3.4,4.7,0.721,3.1,6.9,10,2.7,0.8,1.1,1.7,3.6,12.6
Ben McLemore,MEM,Ben McLemore MEM,SG,24,56,17,1091,5.2,12.3,0.421,1.8,5.2,0.346,3.4,7.1,0.477,1.7,2.1,0.828,1.1,3.5,4.6,1.7,1.3,0.5,2,4.6,13.9
Ben Moore,IND,Ben Moore IND,PF,22,2,0,9,0,0,,0,0,,0,0,,0,0,,0,4,4,4,0,0,0,16,0
Ben Simmons,PHI,Ben Simmons PHI,PG,21,81,81,2732,7.2,13.2,0.545,0,0.1,0,7.2,13,0.551,2.5,4.5,0.56,1.9,6.8,8.7,8.7,1.8,0.9,3.7,2.8,16.9
Bismack Biyombo,ORL,Bismack Biyombo ORL,C,25,82,25,1495,4.4,8.5,0.52,0,0,0,4.4,8.5,0.521,2.5,3.8,0.65,3.5,7.8,11.3,1.6,0.5,2.3,2,3.8,11.3
Blake Griffin,DET,Blake Griffin TOT,PF,28,58,58,1970,8,18.2,0.438,2,5.9,0.345,5.9,12.3,0.482,4.7,6,0.785,1.3,6.5,7.8,6.1,0.7,0.3,3,2.5,22.7
Boban Marjanovic,LAC,Boban Marjanovic TOT,C,29,39,1,337,8.4,15.8,0.534,0,0,,8.4,15.8,0.534,8.2,10.4,0.794,5.1,10.3,15.4,2.4,1.1,1.2,3.8,5.4,25.1
Bobby Brown,HOU,Bobby Brown HOU,PG,33,20,0,115,5.9,18.2,0.328,3.4,12.5,0.275,2.5,5.6,0.444,0.3,0.6,0.5,0,2.2,2.2,3.4,1.3,0,2.8,1.9,15.7
Bobby Portis,CHI,Bobby Portis CHI,PF,22,73,4,1643,8.4,17.8,0.471,1.8,4.9,0.359,6.6,12.9,0.514,2.6,3.4,0.769,3.5,7.4,10.9,2.7,1.1,0.5,2.3,2.8,21.1
Bogdan Bogdanovi?,SAC,Bogdan Bogdanovi? SAC,SG,25,78,53,2175,5.7,12.8,0.446,2.1,5.4,0.392,3.6,7.3,0.485,1.7,2,0.84,0.5,3.2,3.7,4.3,1.2,0.3,2.1,2.8,15.2
Bojan Bogdanovi?,IND,Bojan Bogdanovi? IND,SF,28,80,80,2464,5.9,12.4,0.474,2.3,5.6,0.402,3.6,6.8,0.534,2.6,3,0.868,0.4,3.5,3.9,1.7,0.8,0.1,1.5,1.9,16.7
Bradley Beal,WAS,Bradley Beal WAS,SG,24,82,82,2977,8.3,17.9,0.46,2.4,6.4,0.375,5.9,11.5,0.507,3.5,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,1.9,22.5
Brandan Wright,HOU,Brandan Wright TOT,PF,30,28,1,381,5.6,9.6,0.578,0,0,,5.6,9.6,0.578,2,3.1,0.636,3.1,5.9,9,1.2,1.2,2.5,0.8,3,13.1
Brandon Ingram,LAL,Brandon Ingram LAL,SF,20,59,59,1975,6.5,13.9,0.47,0.7,1.9,0.39,5.8,12,0.483,3.5,5.1,0.681,1,4.7,5.7,4.2,0.8,0.8,2.7,3,17.3
Brandon Jennings,MIL,Brandon Jennings MIL,PG,28,14,0,205,4.7,12.6,0.375,1.6,5.8,0.273,3.2,6.8,0.462,1.8,1.8,1,0.9,4.6,5.4,7.7,1.1,0.7,3.2,1.9,12.8
Brandon Paul,SAS,Brandon Paul SAS,SG,26,64,2,576,3.4,7.9,0.433,0.9,3.4,0.278,2.5,4.6,0.548,1.4,2.7,0.512,0.4,3.9,4.2,2.3,1.6,0.4,1.8,3.6,9.2
Briante Weber,MEM,Briante Weber TOT,PG,25,18,0,237,2.9,6.5,0.442,0.6,1.7,0.364,2.3,4.9,0.469,1.2,1.5,0.8,1.2,4.1,5.3,3.3,2.7,0.8,2.3,4.3,7.6
Brice Johnson,MEM,Brice Johnson TOT,PF,23,18,0,98,7.3,15.4,0.476,0,0.4,0,7.3,15.1,0.488,1.1,1.8,0.6,3.3,8.1,11.4,0.7,3.3,2.2,1.8,4.8,15.8
Brook Lopez,LAL,Brook Lopez LAL,C,29,74,72,1735,7.7,16.5,0.465,2.3,6.7,0.345,5.3,9.7,0.549,2.3,3.3,0.703,1.5,4.6,6.1,2.6,0.6,2,2,4,19.9
Bruno Caboclo,SAC,Bruno Caboclo TOT,SF,22,12,0,107,3,10.4,0.29,1,5.7,0.176,2,4.7,0.429,1.7,2,0.833,2.4,5,7.4,1.3,1,1.3,1.3,2.7,8.7
Bryn Forbes,SAS,Bryn Forbes SAS,SG,24,80,12,1517,5,11.8,0.421,2.1,5.4,0.39,2.8,6.4,0.446,1.1,1.7,0.667,0.3,2.3,2.6,1.9,0.7,0,0.9,2.6,13.2
Buddy Hield,SAC,Buddy Hield SAC,SG,25,80,12,2024,7.4,16.6,0.446,3.1,7.3,0.431,4.3,9.3,0.457,1.3,1.4,0.877,1,4.5,5.5,2.8,1.5,0.4,2.2,2.6,19.2
C.J. McCollum,POR,C.J. McCollum POR,SG,26,81,81,2923,8.2,18.5,0.443,2.3,5.9,0.397,5.9,12.7,0.465,2.6,3.1,0.836,0.7,3.3,4,3.3,0.9,0.4,1.9,2.1,21.3
C.J. Miles,TOR,C.J. Miles TOR,SF,30,70,3,1337,6.1,16.1,0.379,4.4,12.2,0.361,1.7,3.9,0.434,2.2,2.6,0.835,0.5,3.6,4.1,1.5,1,0.6,1.1,3.6,18.8
C.J. Williams,LAC,C.J. Williams LAC,SG,27,38,17,707,4.4,10,0.442,1.1,4,0.282,3.3,6.1,0.546,0.7,0.8,0.813,0.6,2.2,2.9,2.2,1.6,0.7,1,3.2,10.6
Caleb Swanigan,POR,Caleb Swanigan POR,PF,20,27,3,189,4.6,11.4,0.4,0.2,1.5,0.125,4.4,9.9,0.442,2.3,3.4,0.667,2.9,7.4,10.3,2.7,1,0.6,3.4,7,11.6
Cameron Payne,CHI,Cameron Payne CHI,PG,23,25,14,582,5.4,13.3,0.405,2.2,5.6,0.385,3.2,7.7,0.419,0.7,1,0.75,1.1,3.2,4.3,7,1.6,0.6,2.2,2.7,13.7
Caris LeVert,BRK,Caris LeVert BRK,SF,23,71,10,1864,6.2,14.2,0.435,1.6,4.7,0.347,4.5,9.5,0.48,2.6,3.6,0.711,1,4,5,5.8,1.6,0.4,3,3.1,16.6
Carmelo Anthony,OKC,Carmelo Anthony OKC,PF,33,78,78,2501,6.8,16.8,0.404,2.4,6.8,0.357,4.4,10,0.437,2.1,2.8,0.767,1,5.6,6.5,1.5,0.7,0.7,1.4,2.8,18.2
Cedi Osman,CLE,Cedi Osman CLE,SF,22,61,12,672,4.8,10,0.484,1.7,4.7,0.368,3.1,5.3,0.586,1.4,2.5,0.565,1,5.4,6.4,2.2,1.2,0.2,1.7,4.2,12.7
Chandler Parsons,MEM,Chandler Parsons MEM,SF,29,36,8,691,5.6,12.2,0.462,2.7,6.3,0.421,3,5.9,0.504,0.9,1.4,0.63,0.7,4,4.7,3.6,0.9,0.6,1.8,2.8,14.8
Channing Frye,LAL,Channing Frye TOT,C,34,53,1,695,5.4,11,0.491,2,6,0.339,3.4,5,0.67,0.9,1,0.895,0.6,6.4,7,2,0.9,0.7,1.1,3.6,13.7
Charles Cooke,NOP,Charles Cooke NOP,SG,23,13,0,38,1.9,13.3,0.143,0.9,7.6,0.125,0.9,5.7,0.167,0.9,1.9,0.5,0,1.9,1.9,0.9,0.9,0,0.9,0,5.7
Cheick Diallo,NOP,Cheick Diallo NOP,PF,21,52,0,581,6.3,10.9,0.58,0,0,,6.3,10.9,0.58,3.1,4.1,0.758,2.9,10.2,13.1,1.2,0.7,1.3,1.7,5.1,15.7
Chinanu Onuaku,HOU,Chinanu Onuaku HOU,C,21,1,0,22,3.3,8.2,0.4,0,0,,3.3,8.2,0.4,0,0,,1.6,4.9,6.5,1.6,0,0,4.9,6.5,6.5
Chris Boucher,GSW,Chris Boucher GSW,PF,25,1,0,1,0,36,0,0,36,0,0,0,,0,0,,0,36,36,0,0,0,0,0,0
Chris McCullough,WAS,Chris McCullough WAS,PF,22,19,0,90,7.2,16.8,0.429,0.4,3.2,0.125,6.8,13.6,0.5,3.6,5.6,0.643,2.8,7.2,10,1.6,0,2,0.8,3.2,18.4
Chris Paul,HOU,Chris Paul HOU,PG,32,58,58,1847,7.2,15.6,0.46,2.8,7.4,0.38,4.3,8.2,0.532,4,4.3,0.919,0.7,5.4,6.1,8.9,1.9,0.3,2.5,2.7,21.1
Clint Capela,HOU,Clint Capela HOU,C,23,74,74,2034,7.8,12,0.652,0,0,0,7.8,11.9,0.653,2.5,4.5,0.56,4.3,9.9,14.2,1.2,1,2.4,1.8,3.3,18.2
Cody Zeller,CHO,Cody Zeller CHO,C,25,33,0,627,4.9,9,0.545,0.1,0.2,0.667,4.8,8.8,0.542,3.5,4.9,0.718,3.8,6.3,10.2,1.8,0.8,1.2,1.9,4.7,13.4
Cole Aldrich,MIN,Cole Aldrich MIN,C,29,21,0,49,3.7,11,0.333,0,0,,3.7,11,0.333,1.5,4.4,0.333,2.2,8.8,11,2.2,1.5,0.7,0.7,8.1,8.8
Corey Brewer,OKC,Corey Brewer TOT,SF-SG,31,72,18,1208,4.2,9.4,0.449,0.9,3.3,0.282,3.3,6.1,0.539,1.9,2.7,0.722,1.3,3.3,4.6,1.9,2.4,0.4,1.5,4.1,11.3
Cory Joseph,IND,Cory Joseph IND,PG,26,82,17,2210,4.2,9.8,0.424,1.1,3.1,0.353,3.1,6.7,0.457,1.1,1.5,0.745,0.6,3.6,4.3,4.2,1.3,0.3,1.4,2.3,10.6
Courtney Lee,NYK,Courtney Lee NYK,SG,32,76,69,2310,5.3,11.8,0.454,1.8,4.3,0.406,3.6,7.4,0.482,1.8,1.9,0.919,0.5,3,3.5,2.8,1.2,0.3,1.3,1.7,14.2
Cristiano Felicio,CHI,Cristiano Felicio CHI,C,25,55,16,977,4.7,7.9,0.591,0,0.1,0,4.7,7.8,0.596,2,3,0.667,3.1,5.5,8.6,2,0.6,0.4,2,3.8,11.3
D?vis Bert?ns,SAS,D?vis Bert?ns SAS,PF,25,77,10,1086,5.3,12.1,0.44,3.1,8.4,0.373,2.2,3.8,0.588,1.3,1.6,0.816,0.6,4.5,5.1,2.5,0.9,0.9,1.2,3.1,15.1
D.J. Augustin,ORL,D.J. Augustin ORL,PG,30,75,36,1760,5,11,0.452,2.3,5.6,0.419,2.7,5.5,0.485,3.4,3.9,0.868,0.6,2.7,3.3,5.9,1.1,0,2.5,1.9,15.7
D.J. Wilson,MIL,D.J. Wilson MIL,PF,21,22,0,71,4.6,8.1,0.563,1,2.5,0.4,3.5,5.6,0.636,0.5,1,0.5,1,4.1,5.1,1.5,1.5,0.5,2,3.5,10.6
D'Angelo Russell,BRK,D'Angelo Russell BRK,PG,21,48,35,1234,8.1,19.6,0.414,2.6,8.1,0.324,5.5,11.5,0.477,2.8,3.8,0.74,0.9,4.6,5.5,7.3,1.1,0.5,4.3,2.7,21.7
Dakari Johnson,OKC,Dakari Johnson OKC,C,22,31,6,161,4.9,8.7,0.564,0,0,,4.9,8.7,0.564,2.5,4.5,0.55,3.6,4,7.6,1.8,1.3,1.8,0.7,6,12.3
Damian Jones,GSW,Damian Jones GSW,C,22,15,0,89,4.4,8.9,0.5,0,0,,4.4,8.9,0.5,1.2,2,0.6,2,3.6,5.7,0.8,0.4,1.2,1.6,5.7,10.1
Damian Lillard,POR,Damian Lillard POR,PG,27,73,73,2670,8.4,19.1,0.439,3.1,8.5,0.361,5.3,10.6,0.501,6.6,7.3,0.916,0.8,3.5,4.4,6.5,1,0.4,2.8,1.6,26.5
Damien Wilkins,IND,Damien Wilkins IND,SF,38,19,1,152,3.1,9.2,0.333,0.9,4.3,0.222,2.1,5,0.429,0.7,0.9,0.75,1.2,2.6,3.8,2.1,0.5,0.2,1.2,1.7,7.8
Damion Lee,ATL,Damion Lee ATL,SG,25,15,11,404,5.5,13.5,0.408,1.3,5.3,0.25,4.2,8.2,0.511,2,2.6,0.759,1,5.3,6.3,2.6,1.7,0.1,1.2,2.2,14.3
Damyean Dotson,NYK,Damyean Dotson NYK,SG,23,44,2,474,5.5,12.2,0.447,1.7,5.2,0.324,3.8,7.1,0.538,1.2,1.7,0.696,0.7,5.7,6.4,2.4,0.9,0.2,1.3,2.6,13.8
Daniel Hamilton,OKC,Daniel Hamilton OKC,SG,22,6,0,28,6.4,14.1,0.455,2.6,6.4,0.4,3.9,7.7,0.5,0,0,,0,6.4,6.4,10.3,1.3,0,2.6,2.6,15.4
Daniel Theis,BOS,Daniel Theis BOS,C,25,63,3,936,4.8,9,0.541,0.7,2.2,0.31,4.2,6.7,0.617,2.3,3.1,0.753,3.5,7.1,10.5,2.2,1.2,1.8,2.2,6,12.7
Danilo Gallinari,LAC,Danilo Gallinari LAC,SF,29,21,21,671,5.5,13.7,0.398,1.9,6,0.324,3.5,7.8,0.455,4.3,4.7,0.931,0.5,4.9,5.4,2.2,0.6,0.5,1.4,1.6,17.2
Danny Green,SAS,Danny Green SAS,SG,30,70,60,1791,4.4,11.3,0.387,2.3,6.4,0.363,2,4.8,0.419,1,1.3,0.769,0.8,4.2,5,2.2,1.3,1.6,1.5,2.5,12.1
Dante Cunningham,BRK,Dante Cunningham TOT,SF,30,73,25,1562,3.8,8.4,0.451,1.3,3.9,0.345,2.4,4.5,0.541,0.7,1.2,0.596,1.8,5.1,6.9,1.1,0.9,0.7,0.8,2.6,9.6
Dante Exum,UTA,Dante Exum UTA,PG,22,14,0,235,6.4,13.3,0.483,0.8,2.8,0.278,5.7,10.6,0.536,3.8,4.7,0.806,0.6,3.4,4,6.6,1.2,0.5,3.1,3.1,17.5
Danuel House,PHO,Danuel House PHO,SG,24,23,3,403,5,11.5,0.434,1.3,5.2,0.259,3.7,6.3,0.577,2.2,2.8,0.806,1.2,5.6,6.8,2.2,0.6,0.5,1,2.1,13.6
Dario Saric,PHI,Dario Saric PHI,PF,23,78,73,2310,6.3,13.9,0.453,2.4,6.2,0.393,3.8,7.7,0.501,2.8,3.2,0.86,2.4,5.7,8.1,3.1,0.8,0.3,2.3,2.5,17.8
Darius Miller,NOP,Darius Miller NOP,SF,27,82,3,1944,4,9,0.444,2.7,6.6,0.411,1.3,2.4,0.535,1.1,1.2,0.866,0.3,2.7,3,2.1,0.5,0.3,1.1,3,11.8
Darrell Arthur,DEN,Darrell Arthur DEN,PF,29,19,1,141,5.6,12,0.468,2,5.9,0.348,3.6,6.1,0.583,0.5,0.8,0.667,0.8,3.1,3.8,2.3,2,0.8,3.8,5.6,13.8
Darren Collison,IND,Darren Collison IND,PG,30,69,64,2018,5.6,11.4,0.495,1.7,3.7,0.468,3.9,7.7,0.508,2.3,2.6,0.882,0.7,2.5,3.2,6.6,1.6,0.3,1.5,2.2,15.3
Darrun Hilliard,SAS,Darrun Hilliard SAS,SG,24,14,0,95,1.9,7.2,0.263,0,2.3,0,1.9,4.9,0.385,2.3,2.7,0.857,0,2.7,2.7,4.2,0.8,0,1.5,2.7,6.1
David Nwaba,CHI,David Nwaba CHI,SG,25,70,21,1646,4.4,9.3,0.478,0.4,1.1,0.346,4,8.1,0.496,2.9,4.4,0.655,1.9,5.2,7.1,2.3,1.3,0.6,1.7,3.5,12.1
David Stockton,UTA,David Stockton UTA,PG,26,3,0,9,8,12,0.667,8,12,0.667,0,0,,16,16,1,0,0,0,0,0,0,4,12,40
David West,GSW,David West GSW,C,37,73,0,999,7.8,13.6,0.571,0.1,0.3,0.375,7.7,13.3,0.576,2.2,2.8,0.759,2.3,6.3,8.6,5,1.7,2.7,2.9,4.3,17.8
Davon Reed,PHO,Davon Reed PHO,SG,22,21,1,242,3.3,11.3,0.289,1.6,5.7,0.289,1.6,5.7,0.289,1.2,1.8,0.667,0.3,5.5,5.8,1.9,1.5,0.3,1.5,2.5,9.4
De'Aaron Fox,SAC,De'Aaron Fox SAC,PG,20,73,60,2026,5.8,14.2,0.412,0.8,2.7,0.307,5,11.4,0.436,2.5,3.5,0.723,0.6,3,3.6,5.7,1.2,0.4,3.1,2.9,15
DeAndre Jordan,LAC,DeAndre Jordan LAC,C,29,77,77,2424,5.5,8.6,0.645,0,0,,5.5,8.6,0.645,2.7,4.6,0.58,4.9,12.5,17.4,1.7,0.6,1.1,2,3,13.8
DeAndre Liggins,NOP,DeAndre Liggins TOT,SG,29,58,4,724,2,5.3,0.377,0.9,2.6,0.358,1,2.6,0.396,0.1,0.2,0.4,0.3,3.4,3.7,2.4,1.8,0.7,1,4,5
DeAndre' Bembry,ATL,DeAndre' Bembry ATL,SF,23,26,3,455,4.2,10.1,0.414,0.9,2.4,0.367,3.3,7.8,0.429,1.5,2.6,0.576,0.6,5.1,5.7,3.9,1.7,0.9,3.7,3,10.8
Dejounte Murray,SAS,Dejounte Murray SAS,PG,21,81,48,1743,5.6,12.6,0.443,0.2,0.7,0.265,5.4,11.9,0.454,2.2,3.1,0.709,2.3,7.2,9.5,4.8,2,0.6,2.8,3.1,13.5
Delon Wright,TOR,Delon Wright TOR,PG,25,69,4,1433,5,10.9,0.465,1.4,3.8,0.366,3.6,7,0.52,2.4,2.9,0.829,1.1,3.8,5,5,1.8,0.8,2,2,13.9
DeMar DeRozan,TOR,DeMar DeRozan TOR,SG,28,80,80,2711,8.6,18.8,0.456,1.2,3.8,0.31,7.4,15,0.494,6.1,7.4,0.825,0.8,3.4,4.2,5.5,1.1,0.3,2.3,2,24.4
DeMarcus Cousins,NOP,DeMarcus Cousins NOP,C,27,48,48,1737,8.4,17.9,0.47,2.2,6.1,0.354,6.3,11.8,0.53,6.1,8.2,0.746,2.2,10.6,12.8,5.3,1.6,1.6,5,3.8,25.1
DeMarre Carroll,BRK,DeMarre Carroll BRK,PF,31,73,73,2180,5.4,13,0.414,2.4,6.5,0.371,3,6.5,0.457,3.1,4.1,0.764,1.7,6.2,7.9,2.4,1,0.5,1.7,2.7,16.2
Demetrius Jackson,PHI,Demetrius Jackson TOT,PG,23,15,0,80,3.2,8.1,0.389,0.5,3.2,0.143,2.7,5,0.545,0.5,0.9,0.5,2.3,3.2,5.4,4.1,2.3,0.5,4.5,3.2,7.2
Dennis Schroder,ATL,Dennis Schroder ATL,PG,24,67,67,2078,8.7,19.9,0.436,1.3,4.5,0.29,7.3,15.3,0.48,3.9,4.6,0.849,0.8,2.8,3.6,7.2,1.2,0.1,3.2,2.5,22.5
Dennis Smith,DAL,Dennis Smith DAL,PG,20,69,69,2049,7.1,18,0.395,1.9,6,0.313,5.2,12,0.435,2.4,3.4,0.694,0.9,3.7,4.6,6.3,1.2,0.3,3.4,2.7,18.4
Denzel Valentine,CHI,Denzel Valentine CHI,SG,24,77,37,2095,5.2,12.4,0.417,2.5,6.4,0.386,2.7,6,0.45,0.7,0.9,0.745,0.8,5.9,6.8,4.2,1.1,0.2,1.7,3.2,13.5
Derrick Favors,UTA,Derrick Favors UTA,C,26,77,77,2153,6.6,11.7,0.563,0.2,1.1,0.222,6.4,10.7,0.596,2.3,3.6,0.651,3.3,5.9,9.2,1.7,0.9,1.4,1.5,2.7,15.8
