Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Carter-Williams,CHO,Michael Carter-Williams CHO,PG,26,52,2,835,3.3,9.9,0.332,0.6,2.5,0.237,2.7,7.3,0.365,3.1,3.8,0.82,1.6,4.4,5.9,5,1.9,1,2.2,4.3,10.3
Michael Kidd-Gilchrist,CHO,Michael Kidd-Gilchrist CHO,SF,24,74,74,1850,5.5,10.9,0.504,0,0,0,5.5,10.9,0.505,2.3,3.3,0.684,1.6,4.2,5.9,1.4,1,0.6,1,2.8,13.3
Mike Conley,MEM,Mike Conley MEM,PG,30,12,12,373,6.2,16.2,0.381,2.3,7.4,0.312,3.9,8.8,0.44,5.1,6.4,0.803,0,2.6,2.6,4.7,1.2,0.3,1.7,2.3,19.8
Mike James,NOP,Mike James TOT,PG,27,36,10,687,6.4,16.8,0.383,1.4,5.1,0.265,5.1,11.7,0.435,3.4,4.4,0.762,0.7,4,4.7,6.6,1.5,0.4,2.6,2.5,17.6
Mike Muscala,ATL,Mike Muscala ATL,C,26,53,7,1060,4.9,10.6,0.458,2.1,5.7,0.371,2.8,4.9,0.559,1.9,2.1,0.919,1.9,5.9,7.8,1.7,1.1,0.9,1.4,2.7,13.8
Mike Scott,WAS,Mike Scott WAS,PF,29,76,1,1406,7.1,13.4,0.527,1.7,4.2,0.405,5.4,9.2,0.582,1.3,1.9,0.658,1.3,5,6.3,2,0.6,0.3,2,3.8,17.1
Miles Plumlee,ATL,Miles Plumlee ATL,C,29,55,35,918,4.1,7.1,0.583,0,0,,4.1,7.1,0.583,1.1,2.4,0.45,3,5.9,8.9,1.8,0.7,1.2,2.5,3.1,9.3
Milos Teodosic,LAC,Milos Teodosic LAC,PG,30,45,36,1134,4.8,11.4,0.419,2.8,7.4,0.379,2,4.1,0.492,1.2,1.5,0.848,0.5,3.5,4,6.6,0.7,0.2,3.1,3.3,13.6
Milton Doyle,BRK,Milton Doyle BRK,SG,24,10,0,125,3.7,13.5,0.277,1.2,6.6,0.174,2.6,6.9,0.375,1.2,2.3,0.5,0.9,4.3,5.2,2.9,1.7,0.6,0.6,3.7,9.8
Mindaugas Kuzminskas,NYK,Mindaugas Kuzminskas NYK,SF,28,1,0,2,0,36,0,0,0,,0,36,0,0,0,,0,0,0,0,0,0,0,0,0
Mirza Teletovi?,MIL,Mirza Teletovi? MIL,PF,32,10,0,159,5.7,12.9,0.439,4.8,10.2,0.467,0.9,2.7,0.333,0,0,,0.7,4.5,5.2,2.3,0.9,0.2,1.6,3.2,16.1
Monte Morris,DEN,Monte Morris DEN,PG,22,3,0,25,5.8,8.6,0.667,0,1.4,0,5.8,7.2,0.8,2.9,2.9,1,0,2.9,2.9,10.1,4.3,0,1.4,1.4,14.4
Montrezl Harrell,LAC,Montrezl Harrell LAC,C,24,76,3,1293,9.7,15.3,0.635,0,0.2,0.143,9.7,15.1,0.641,3.9,6.2,0.626,2.9,5.7,8.5,2.1,1,1.4,1.9,4,23.3
Myke Henry,MEM,Myke Henry MEM,SF,25,20,0,378,3.9,10.4,0.376,1.8,5.5,0.328,2.1,4.9,0.431,0.6,1,0.6,1,2.7,3.6,2.1,3,0.6,1.8,2.7,10.2
Myles Turner,IND,Myles Turner IND,C,21,65,62,1836,6,12.5,0.479,1.1,3.1,0.357,4.9,9.5,0.519,3.1,4,0.777,1.8,6.4,8.2,1.7,0.7,2.3,1.9,3.6,16.2
Nate Wolters,UTA,Nate Wolters UTA,PG,26,5,0,19,1.9,11.4,0.167,0,0,,1.9,11.4,0.167,0,0,,1.9,1.9,3.8,1.9,0,0,0,1.9,3.8
