Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Devin Booker,PHO,Devin Booker PHO,SG,21,54,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.7,12.4,0.46,0.501,5.4,6.1,0.878,0.5,4,4.5,4.7,0.9,0.3,3.6,3.1,24.9
Trevor Booker,TOT,Trevor Booker TOT,PF,30,68,7,17,2.6,5,0.516,0.1,0.5,0.242,2.5,4.6,0.545,0.528,1,1.4,0.71,1.7,3,4.7,1.2,0.4,0.3,0.9,1.8,6.3
PJ Dozier,OKC,PJ Dozier OKC,PG,21,2,0,1.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0.5,0.5,0,0,0,0.5,0.5,1
Trevor Booker,PHI,Trevor Booker PHI,PF,30,33,0,15,1.8,3.3,0.56,0.1,0.2,0.286,1.8,3.1,0.578,0.569,1,1.2,0.821,1.4,2.3,3.7,0.8,0.5,0.3,0.6,1.5,4.7
Kay Felder,DET,Kay Felder DET,PG,22,2,0,3,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0.25,0,0,,1,1,2,0,0,0,0.5,0,1
Andre Ingram,LAL,Andre Ingram LAL,SG,32,2,0,32,4,8.5,0.471,2.5,4.5,0.556,1.5,4,0.375,0.618,1.5,1.5,1,0.5,2.5,3,3.5,1.5,1.5,1.5,1.5,12
Avery Bradley,TOT,Avery Bradley TOT,SG,27,46,46,31.2,5.6,13.6,0.414,1.6,4.4,0.369,4,9.2,0.436,0.474,1.4,1.8,0.768,0.5,2,2.5,2,1.1,0.2,2.2,2,14.3
Ben Moore,IND,Ben Moore IND,PF,22,2,0,4.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0.5,0,0,0,2,0
Avery Bradley,LAC,Avery Bradley LAC,SG,27,6,6,27.5,4.3,9.2,0.473,0.2,1.5,0.111,4.2,7.7,0.543,0.482,0.3,0.3,1,0.5,3.2,3.7,1.8,0.8,0.2,1.3,2,9.2
Tony Bradley,UTA,Tony Bradley UTA,C,20,9,0,3.2,0.3,1.2,0.273,0,0.1,0,0.3,1.1,0.3,0.273,0.2,0.2,1,0.4,0.8,1.2,0.1,0,0,0,0.1,0.9
Corey Brewer,TOT,Corey Brewer TOT,SF-SG,31,72,18,16.8,2,4.4,0.449,0.4,1.5,0.282,1.5,2.9,0.539,0.498,0.9,1.3,0.722,0.6,1.5,2.1,0.9,1.1,0.2,0.7,1.9,5.3
Corey Brewer,LAL,Corey Brewer LAL,SF,31,54,2,12.9,1.4,3.2,0.453,0.1,0.8,0.186,1.3,2.4,0.543,0.477,0.6,0.9,0.667,0.4,1.3,1.7,0.8,0.8,0.1,0.7,1.5,3.7
Jahlil Okafor,PHI,Jahlil Okafor PHI,C,22,2,0,12.5,2,4.5,0.444,0,0,,2,4.5,0.444,0.444,1,2,0.5,2,2.5,4.5,0.5,0,1,1.5,3.5,5
Malcolm Brogdon,MIL,Malcolm Brogdon MIL,PG,25,48,20,29.9,5.1,10.5,0.485,1.3,3.4,0.385,3.8,7.1,0.532,0.547,1.6,1.8,0.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.7,13
Aaron Brooks,MIN,Aaron Brooks MIN,PG,33,32,1,5.9,0.9,2.2,0.406,0.3,1,0.355,0.5,1.2,0.447,0.486,0.3,0.3,0.727,0.2,0.3,0.5,0.6,0.2,0,0.3,0.9,2.3
Dillon Brooks,MEM,Dillon Brooks MEM,SF,22,82,74,28.7,4.1,9.4,0.44,1.1,3.2,0.356,3,6.2,0.484,0.501,1.5,2,0.747,0.6,2.5,3.1,1.6,0.9,0.2,1.5,2.8,11
Xavier Silas,BOS,Xavier Silas BOS,SG,30,2,0,3.5,0,1.5,0,0,1,0,0,0.5,0,0,0,0,,0.5,0.5,1,0,0.5,0,0,0.5,0
Eric Bledsoe,PHO,Eric Bledsoe PHO,PG,28,3,3,27.7,5.3,13.3,0.4,1.3,4.3,0.308,4,9,0.444,0.45,3.7,4.7,0.786,1,1.3,2.3,3,1.3,0.7,3.3,2,15.7
Bobby Brown,HOU,Bobby Brown HOU,PG,33,20,0,5.8,1,2.9,0.328,0.6,2,0.275,0.4,0.9,0.444,0.422,0.1,0.1,0.5,0,0.4,0.4,0.6,0.2,0,0.5,0.3,2.5
Jaylen Brown,BOS,Jaylen Brown BOS,SG,21,70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,3.6,7.1,0.507,0.54,2.1,3.3,0.644,0.9,4,4.9,1.6,1,0.4,1.8,2.6,14.5
Larry Drew,PHI,Larry Drew PHI,PG,27,3,0,5,0.3,2.3,0.143,0,1,0,0.3,1.3,0.25,0.143,0,0,,0.3,0,0.3,0.7,0,0,0.3,0.7,0.7
Reggie Hearn,DET,Reggie Hearn DET,SG,26,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0,0,,0.75,0,0,,0,0,0,0,0,0,0,0,1
Sterling Brown,MIL,Sterling Brown MIL,SG,22,54,4,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.9,2.1,0.439,0.478,0.4,0.4,0.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4
Nicolas Brussino,ATL,Nicolas Brussino ATL,SF,24,4,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0.8,0.8,0,0,0,0,0,0
