Player,Team,Player & Team,season17_18
Ish Smith,DET,Ish Smith DET,6000000
Alan Williams,PHO,Alan Williams PHO,6000000
Shelvin Mack,ORL,Shelvin Mack ORL,6000000
Milos Teodosic,LAC,Milos Teodosic LAC,6000000
Ersan Ilyasova,ATL,Ersan Ilyasova ATL,6000000
Dewayne Dedmon,ATL,Dewayne Dedmon ATL,6000000
Tyler Johnson,MIA,Tyler Johnson MIA,5881260
Wesley Johnson,LAC,Wesley Johnson LAC,5881260
Alex Abrines,OKC,Alex Abrines OKC,5725000
Jayson Tatum,BOS,Jayson Tatum BOS,5645400
D'Angelo Russell,BRK,D'Angelo Russell BRK,5562360
Brandon Ingram,LAL,Brandon Ingram LAL,5519400
Patrick Beverley,LAC,Patrick Beverley LAC,5513514
Aaron Gordon,ORL,Aaron Gordon ORL,5504420
Deron Williams,BRK,Deron Williams BRK,5500000
Josh Smith,DET,Josh Smith DET,5400000
Thabo Sefolosha,UTA,Thabo Sefolosha UTA,5250000
Jason Smith,WAS,Jason Smith WAS,5225000
Ben McLemore,MEM,Ben McLemore MEM,5200000
Patrick Patterson,OKC,Patrick Patterson OKC,5192000
Nick Young,GSW,Nick Young GSW,5192000
Brandan Wright,MEM,Brandan Wright MEM,5179760
Josh Jackson,PHO,Josh Jackson PHO,5090040
Marcus Morris,BOS,Marcus Morris BOS,5000000
Dirk Nowitzki,DAL,Dirk Nowitzki DAL,5000000
Greg Monroe,BOS,Greg Monroe BOS,5000000
Mike Muscala,ATL,Mike Muscala ATL,5000000
Jahlil Okafor,BRK,Jahlil Okafor BRK,4995120
Dante Exum,UTA,Dante Exum UTA,4992385
Alexis Ajinca,NOP,Alexis Ajinca NOP,4961798
Jaylen Brown,BOS,Jaylen Brown BOS,4956480
Jameer Nelson,DEN,Jameer Nelson DEN,4736050
Kyle Singler,OKC,Kyle Singler OKC,4666500
Justin Holiday,CHI,Justin Holiday CHI,4615385
De'Aaron Fox,SAC,De'Aaron Fox SAC,4609200
Marcus Smart,BOS,Marcus Smart BOS,4538020
Kristaps Porzingis,NYK,Kristaps Porzingis NYK,4503600
Dragan Bender,PHO,Dragan Bender PHO,4468800
Devin Harris,DEN,Devin Harris DEN,4402546
Ron Baker,NYK,Ron Baker NYK,4328000
Jamal Crawford,MIN,Jamal Crawford MIN,4328000
Aron Baynes,BOS,Aron Baynes BOS,4328000
Alex Len,PHO,Alex Len PHO,4187599
Nerlens Noel,DAL,Nerlens Noel DAL,4187599
Jonathan Isaac,ORL,Jonathan Isaac ORL,4186320
Lance Stephenson,IND,Lance Stephenson IND,4180000
Julius Randle,LAL,Julius Randle LAL,4149242
Kyle O'Quinn,NYK,Kyle O'Quinn NYK,4087500
Mario Hezonja,ORL,Mario Hezonja ORL,4078320
Kris Dunn,CHI,Kris Dunn CHI,4046760
Jonas Jerebko,UTA,Jonas Jerebko UTA,4000000
Nemanja Bjelica,MIN,Nemanja Bjelica MIN,3949999
J.J. Barea,DAL,J.J. Barea DAL,3903900
Quincy Pondexter,CHI,Quincy Pondexter CHI,3853931
Lauri Markkanen,CHI,Lauri Markkanen CHI,3821640
Nik Stauskas,BRK,Nik Stauskas BRK,3807146
